,Unnamed: 0,link,top_blue,top_red,jung_blue,jung_red,mid_blue,mid_red,ad_blue,ad_red,support_blue,support_red,kda_top_blue,kda_top_red,kda_jungle_blue,kda_jungle_red,kda_mid_blue,kda_mid_red,kda_ad_blue,kda_ad_red,kda_sp_blue,kda_sp_red,gold_difference,turret_blue,turret_red,dragon_blue,dragon_red,blue_heralds,red_heralds,team_win
8379,7122,/match/na/4643712586,Jax,Fiora,Kindred,Rengar,Syndra,Ahri,Jinx,Caitlyn,Senna,Milio,2.0,0.5,1.0,4.0,0.0,4.0,1.0,0.67,3.0,4.0,1502.0,0.0,1.0,1.0,1.0,1,0,blue
3745,63,/match/oce/568064800,Malphite,Sylas,Pantheon,Yone,Akali,Yasuo,Ezreal,Sejuani,Sona,Rell,15.0,0.67,3.67,1.0,16.0,0.29,3.0,0.83,6.0,0.71,12477.0,0.0,1.0,0.0,2.0,0,1,blue
3493,6093,/match/las/1292513972,Ornn,Riven,Jarvan IV,Diana,Aurelion Sol,Twisted Fate,Ezreal,Kai'Sa,Blitzcrank,Thresh,1.0,5.0,0.67,8.0,1.5,2.0,0.0,6.0,2.0,9.0,-7244.0,1.0,0.0,1.0,0.0,0,2,blue
9977,6535,/match/na/4644814406,Pantheon,Fiora,Master Yi,Lee Sin,Katarina,Talon,Xayah,Jhin,Yuumi,Milio,0.0,1.0,5.0,0.0,8.0,1.0,8.0,1.0,8.0,0.75,6126.0,0.0,1.0,0.0,1.0,1,0,blue
1691,5456,/match/lan/1382407304,Cho'Gath,Jayce,Master Yi,Kha'Zix,Zed,Lux,Ziggs,Jinx,Leona,Braum,0.5,2.0,0.0,7.0,0.67,6.0,0.0,9.0,0.0,8.0,-13473.0,3.0,0.0,2.0,0.0,0,1,red
3600,3,/match/oce/568155165,Jax,Malphite,Jarvan IV,Lee Sin,Ahri,LeBlanc,Xayah,Aphelios,Blitzcrank,Senna,1.0,0.0,2.5,1.5,5.0,0.33,5.0,1.0,2.5,0.4,7030.0,0.0,2.0,1.0,0.0,2,0,blue
8040,1851,/match/th/4770620,Riven,Ornn,Kayn,Viego,Vladimir,Viktor,Varus,Ezreal,Nami,Yuumi,0.2,5.0,0.5,13.0,0.0,0.0,2.33,0.6,3.0,5.0,-1614.0,1.0,0.0,0.0,1.0,0,2,red
7320,9415,/match/tw/66282188,Malphite,Kayle,Graves,Nocturne,Orianna,Tristana,Sivir,Gwen,Renata Glasc,Milio,6.0,1.0,1.67,6.0,1.0,1.0,3.0,3.0,0.5,3.0,-3472.0,1.0,1.0,1.0,0.0,2,0,red
7821,1632,/match/sg/6748021,Shen,Veigar,Maokai,Pyke,Sylas,Kled,Kai'Sa,Udyr,Nautilus,Samira,2.0,1.0,6.0,4.5,1.75,1.0,9.0,1.67,1.67,1.5,3133.0,0.0,0.0,2.0,0.0,1,1,blue
6486,9718,/match/eune/3363638435,Gangplank,K'Sante,Rek'Sai,Nunu & Willump,Sylas,Jayce,Draven,Xayah,Thresh,Soraka,1.0,2.0,1.5,3.75,2.0,8.0,4.33,0.88,2.5,1.5,1380.0,1.0,1.0,1.0,1.0,1,1,red
9426,1234,/match/ru/439830773,Sett,Fizz,Nunu & Willump,Elise,Akali,Pantheon,Kai'Sa,Varus,Lux,Vel'Koz,0.75,2.5,3.5,2.25,1.25,1.67,1.5,2.0,2.5,2.5,95.0,0.0,0.0,0.0,2.0,2,0,blue
5886,1386,/match/ru/439633748,Akshan,Pantheon,Udyr,Sylas,Kassadin,Karma,Zeri,Twitch,Pyke,Milio,0.25,3.5,2.0,10.0,2.5,2.0,3.5,4.5,2.0,9.0,-2672.0,1.0,0.0,1.0,1.0,1,1,red
