Unnamed: 0,gold_difference,team_win,herald_difference,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,score_lane,score_role
2528,3809.0,0,2,0.0,-1.0,3.33,7.0,4.0,-0.9300000000000002,0.33,0.0,-2.0
5608,528.0,1,1,0.0,0.0,-5.33,-3.0,0.4199999999999999,6.5,3.1,1.0,0.0
3826,-4536.0,0,-2,1.0,0.0,-4.0,-1.0,2.0,-0.7,-1.5,0.0,0.0
5260,-2791.0,0,2,0.0,0.0,1.0,-7.0,-3.67,4.33,-0.25,2.0,1.0
4027,3387.0,0,2,-1.0,0.0,4.0,7.0,-5.0,7.33,6.5,-1.0,-2.0
9567,274.0,0,0,1.0,0.0,4.5,-5.0,-1.0,-3.0,-2.0,-3.0,-1.0
5659,-6902.0,0,-2,0.0,0.0,1.33,-9.0,-2.6,-5.33,-5.67,-1.0,-1.0
3417,1651.0,1,2,1.0,-1.0,0.92,3.0,-2.33,-5.5,-2.0,-1.0,0.0
3201,-3073.0,1,-2,2.0,1.0,-3.2,0.6699999999999999,-2.0,0.0,-2.0,-1.0,1.0
4056,9956.0,1,2,-2.0,-2.0,-0.92,9.25,2.75,-2.07,2.5,0.0,-1.0
7955,-1857.0,0,-2,1.0,1.0,5.25,2.5,-1.0,3.5,1.67,-1.0,1.0
4777,-4302.0,1,2,0.0,1.0,-1.0,2.5,3.0,0.47,0.0,-1.0,0.0
6232,7550.0,1,1,-1.0,-2.0,1.0699999999999998,-1.0,6.75,-0.3399999999999998,1.1,-1.0,-1.0
7426,4249.0,1,2,1.0,-1.0,3.75,4.0,2.0,0.93,6.67,-1.0,0.0
5054,-2050.0,0,2,-1.0,-1.0,0.83,-2.0,2.0,-4.29,-0.05,2.0,-1.0
808,1362.0,1,2,-1.0,0.0,0.0,4.0,3.67,-0.5,-1.0,1.0,0.0
9681,8074.0,1,1,-2.0,-1.0,1.5,8.0,-0.25,5.1,9.0,0.0,0.0
8091,-5713.0,0,-2,0.0,1.0,-2.0,-7.33,-6.8,-1.0,0.0,1.0,0.0
5825,233.0,0,0,0.0,0.0,-1.5,3.67,5.4,-0.25,-0.25,-2.0,0.0
6675,1383.0,1,2,-1.0,0.0,3.0,0.0,0.0,-2.0,-2.0,1.0,1.0
3360,-1494.0,0,-2,2.0,2.0,0.5,-0.5,4.5,2.33,0.0,1.0,0.0
9287,-4301.0,1,-2,-1.0,-1.0,-1.33,-11.0,-0.25,-0.75,-2.96,0.0,0.0
6020,-2516.0,0,-2,1.0,0.0,1.0,0.4199999999999999,-4.67,-1.33,-6.5,0.0,0.0
5880,3980.0,1,2,-1.0,-1.0,6.67,2.8,5.0,1.5,-1.5,0.0,1.0
8,-810.0,1,0,1.0,0.0,-1.0,-2.5,-4.0,-2.0,-3.5,0.0,-1.0
6243,-1046.0,1,0,1.0,0.0,3.0,1.5,-2.0,-2.0,-2.0,1.0,1.0
1649,5848.0,1,2,0.0,-1.0,-2.67,2.33,-2.67,4.7,4.5,1.0,2.0
3657,2777.0,0,-2,-2.0,0.0,-1.5,-0.25,4.7,2.0,-0.08,1.0,-1.0
6582,4227.0,1,2,0.0,-1.0,-0.83,6.33,0.5,5.33,4.5,1.0,0.0
2898,13085.0,1,1,0.0,-6.0,2.0,3.25,7.25,13.43,12.0,1.0,1.0
2283,-10107.0,0,-1,1.0,2.0,-0.3299999999999999,-10.5,-4.0,-2.83,-5.67,-1.0,1.0
4298,110.0,0,-1,1.0,0.0,-6.6,-2.0,-6.0,1.25,2.0,1.0,1.0
8351,322.0,0,0,0.0,-1.0,2.67,2.5,1.0,0.0,-1.67,1.0,-1.0
5449,-2464.0,0,0,1.0,1.0,-1.0,-6.33,1.32,-1.0,-2.0,1.0,2.0
2156,-1264.0,1,-2,0.0,1.0,-0.65,5.0,2.25,-1.5,0.0,-1.0,1.0
7973,6493.0,0,2,-2.0,-1.0,1.54,4.0,2.0,7.75,1.25,-1.0,0.0
8880,-730.0,1,2,0.0,0.0,3.33,3.0,-0.5,-2.25,-1.83,0.0,0.0
9972,2448.0,0,-2,-1.0,0.0,1.5,8.75,0.33,2.25,7.33,2.0,0.0
9893,-3751.0,0,-2,1.0,0.0,0.0,-4.0,1.0,-3.0,-4.0,2.0,0.0
9905,5702.0,1,2,-1.0,-2.0,7.0,6.0,2.0,-0.1999999999999999,2.25,-1.0,-1.0
8045,-5249.0,0,0,2.0,0.0,8.5,-1.5,-9.25,-5.4,-10.14,-1.0,0.0
6447,3932.0,1,2,-1.0,-1.0,5.0,2.5,-1.0,0.92,3.0,1.0,0.0
1437,6658.0,1,2,-1.0,-3.0,3.33,2.25,2.0,0.3399999999999998,8.0,2.0,0.0
1503,-2598.0,0,0,2.0,0.0,-1.0,-1.0,-3.0,1.67,-1.83,0.0,0.0
3507,1232.0,0,-2,0.0,0.0,2.0,3.0,1.0,2.75,6.25,1.0,0.0
2449,-5315.0,0,1,1.0,1.0,-0.25,-9.67,0.33,-3.66,-10.43,-2.0,-2.0
9330,3268.0,1,2,-1.0,0.0,3.0,1.0,0.5,0.0,-3.0,-2.0,0.0
8451,-6812.0,0,1,1.0,0.0,-0.53,-7.25,-0.8300000000000001,-2.5,1.0,-2.0,-1.0
6184,-4917.0,0,0,-1.0,0.0,-0.5,-4.67,-8.0,-6.0,-3.0,1.0,0.0
4695,118.0,0,0,1.0,0.0,2.0,1.5,-5.0,-4.5,-1.25,0.0,0.0
4942,5078.0,0,0,0.0,-2.0,0.0,3.0,4.0,-3.0,-2.83,2.0,0.0
4017,4843.0,1,2,1.0,-2.0,-0.5,-3.0,1.67,2.17,1.0,-2.0,0.0
7404,2978.0,1,0,0.0,-1.0,-1.0,7.5,7.0,0.0,3.0,1.0,0.0
4199,-4072.0,0,-1,-1.0,0.0,-3.0,-6.5,-7.0,2.5,-5.0,3.0,2.0
931,3834.0,1,2,-2.0,0.0,-1.5,4.0,1.0,4.0,3.5,1.0,0.0
3463,1781.0,1,2,-1.0,0.0,1.0,1.0,-0.83,6.25,5.0,-1.0,0.0
9974,1776.0,1,2,-2.0,0.0,0.0,3.5,-1.0,1.0,3.0,0.0,-1.0
1560,-9083.0,0,-2,2.0,3.0,-2.0,-4.33,5.0,-1.33,-13.5,-2.0,0.0
6596,-2720.0,0,2,0.0,1.0,-2.0,5.5,5.5,-0.8,-10.4,-3.0,0.0
782,-223.0,0,0,0.0,0.0,4.75,2.0,1.58,-1.17,0.0,0.0,1.0
1515,7287.0,1,1,-1.0,-1.0,4.25,3.17,-2.67,2.0,5.0,-1.0,-2.0
5822,1225.0,0,0,1.0,0.0,3.0,-3.33,5.0,-2.5,-2.5,3.0,-1.0
6934,1901.0,1,0,-1.0,1.0,-3.67,5.0,4.0,9.5,9.6,-1.0,1.0
992,3283.0,1,0,-2.0,0.0,-1.5,-1.5,-2.0,9.75,9.75,-2.0,0.0
420,-5239.0,0,-2,0.0,0.0,0.0,0.0,2.6,1.0,-3.67,-1.0,0.0
25,-2150.0,0,-1,1.0,1.0,0.0,-1.0,-3.0,-3.0,-3.0,0.0,-1.0
2780,-9937.0,0,-2,1.0,3.0,-1.5,-10.83,-6.25,-4.9,-11.67,1.0,1.0
898,3590.0,1,2,0.0,0.0,1.67,3.67,-1.33,4.5,1.5,0.0,1.0
3054,3398.0,0,2,0.0,0.0,-1.0,1.67,2.0,2.0,0.5,0.0,0.0
9736,10410.0,1,2,-2.0,-2.0,-5.5,3.33,3.83,11.25,12.56,3.0,0.0
4312,-4475.0,0,0,0.0,1.0,-7.0,0.0,1.0,1.5,-1.0,2.0,1.0
9811,5133.0,1,2,2.0,0.0,1.33,7.0,5.5,0.0,6.0,1.0,-2.0
7680,-114.0,0,1,0.0,0.0,1.0,1.5,-1.67,-0.6600000000000001,1.0,-1.0,0.0
4898,2046.0,0,0,1.0,-1.0,-4.5,-4.3,-5.33,4.12,6.14,-2.0,0.0
8388,-322.0,0,2,-1.0,0.0,-5.0,1.5,4.75,-1.0,-4.67,0.0,0.0
8432,1067.0,0,0,-1.0,-1.0,-4.67,1.0,0.6699999999999999,7.0,5.33,-1.0,2.0
5107,4340.0,0,2,-2.0,-1.0,0.0,-1.0,4.33,3.5,5.0,2.0,1.0
