gold_difference,team_win,herald_difference,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,score_lane,score_role
1119.0,0,0,0.0,0.0,4.0,-2.5,-3.9,5.0,4.67,0.0,0.0
7222.0,1,1,-2.0,0.0,0.3299999999999999,8.0,2.5,4.0,4.0,2.0,1.0
-601.0,0,2,-2.0,0.0,1.2,-0.5,-5.0,-5.0,-4.25,-1.0,-1.0
-1932.0,0,0,-2.0,0.0,3.0,-4.75,-5.5,2.0,-5.5,2.0,0.0
-5452.0,0,-2,0.0,1.0,-1.5,1.0,-1.0,-4.0,-1.5,1.0,0.0
5990.0,1,0,-1.0,0.0,-0.5,0.8300000000000001,6.67,3.0,5.25,-1.0,2.0
-1844.0,0,-2,2.0,0.0,-2.5,-10.6,0.0,0.3500000000000001,1.33,0.0,-1.0
-2016.0,0,0,2.0,0.0,3.8,0.0,-2.5,-2.83,-6.4,-2.0,-1.0
4060.0,1,2,1.0,-3.0,4.8,-3.33,1.4,2.0,-2.25,-1.0,-2.0
520.0,0,0,0.0,-1.0,4.75,-4.0,-2.0,-1.0,-3.0,0.0,0.0
1591.0,1,0,-1.0,-2.0,0.4,-4.0,-2.0,0.0,-7.0,0.0,1.0
-3170.0,0,-2,1.0,1.0,0.0,3.0,-0.8,5.25,-1.7,-2.0,-1.0
2001.0,0,2,1.0,-1.0,2.5,-7.0,1.0,-1.67,-4.1,-2.0,0.0
584.0,1,-2,2.0,1.0,4.0,-2.67,5.8,4.0,0.5,0.0,-1.0
2819.0,1,2,-1.0,1.0,-6.75,3.25,3.67,0.33,0.1699999999999999,1.0,1.0
1001.0,1,0,2.0,1.0,-0.5,8.33,1.83,3.0,8.0,-2.0,0.0
6978.0,1,-1,-2.0,-1.0,0.0,3.5,-1.5,4.5,13.33,0.0,0.0
586.0,1,0,1.0,0.0,0.5,0.5,10.4,0.1699999999999999,-1.73,-2.0,0.0
-1157.0,1,2,1.0,0.0,0.0,-8.67,0.5,-3.9,-10.25,0.0,1.0
-2617.0,0,0,0.0,1.0,-6.0,-2.0,-0.1999999999999999,-1.0,-3.0,-1.0,1.0
-2363.0,0,-2,2.0,0.0,0.0,-3.0,-4.5,0.6699999999999999,-5.0,0.0,0.0
5617.0,1,2,-2.0,-1.0,0.0,4.0,6.8,3.0,2.0,1.0,0.0
-1837.0,0,2,1.0,1.0,-2.5,0.8300000000000001,5.0,-1.0,-5.5,-1.0,1.0
4950.0,1,-1,-1.0,1.0,6.75,9.0,4.4,9.25,-0.33,-3.0,1.0
1949.0,1,2,-1.0,0.0,1.0,-1.5,-0.5,-3.0,-1.0,2.0,1.0
-2189.0,1,0,1.0,0.0,0.25,-0.5,0.0,-1.0,0.5,1.0,1.0
4973.0,0,0,0.0,-1.0,5.75,4.0,1.83,1.83,3.0,2.0,0.0
4788.0,1,2,1.0,-1.0,0.3299999999999999,2.0,0.0,8.0,8.0,-1.0,1.0
7952.0,1,2,2.0,0.0,5.0,3.5,9.75,1.0,5.0,0.0,0.0
991.0,0,2,0.0,-1.0,-2.5,-3.0,4.0,-1.33,1.0,1.0,-1.0
4325.0,1,1,1.0,-1.0,0.33,-1.5,-1.67,1.0,-1.0,0.0,-1.0
802.0,1,1,0.0,0.0,0.0,1.33,9.0,-3.17,-2.17,1.0,1.0
-1805.0,1,0,1.0,0.0,1.0,-4.75,0.0,1.67,1.67,0.0,1.0
5441.0,1,2,-2.0,0.0,-2.5,-5.33,2.6,3.0,2.5,0.0,-1.0
-5727.0,0,-2,0.0,2.0,-0.66,-1.5,-0.95,-1.25,5.5,1.0,1.0
-614.0,0,0,0.0,0.0,0.3299999999999999,-1.0,-2.0,1.0,1.0,1.0,-1.0
5859.0,1,2,-2.0,0.0,11.2,5.0,3.6,0.0,0.0,-2.0,1.0
2863.0,1,2,-2.0,1.0,2.33,9.33,-1.0,7.33,7.0,1.0,-1.0
-2051.0,1,0,-1.0,0.0,-3.0,-5.8,1.0,-0.6699999999999999,3.5,0.0,3.0
3132.0,1,2,1.0,-1.0,1.75,1.0,2.5,0.0,0.0,2.0,0.0
-7913.0,0,0,0.0,1.0,-1.0,0.0,-1.9,-1.0,-1.67,0.0,0.0
5859.0,1,1,0.0,-1.0,-1.0,4.5,3.67,9.6,8.25,0.0,2.0
-4094.0,0,1,1.0,0.0,-1.67,3.5,0.0,-8.6,-5.0,1.0,0.0
1518.0,1,2,-1.0,-1.0,-4.8,-1.0,-3.0,3.5,0.0,0.0,-1.0
-5166.0,0,1,2.0,1.0,-0.83,-3.67,-3.5,0.0,-1.0,0.0,0.0
-567.0,1,-2,-1.0,1.0,0.33,1.0,3.33,-1.0,-2.5,1.0,0.0
-331.0,0,0,-1.0,-2.0,2.33,-4.0,-3.0,-3.0,0.75,-1.0,0.0
-7105.0,0,-2,1.0,2.0,-3.75,1.5,-3.0,1.5,-9.33,1.0,1.0
645.0,1,0,-1.0,-1.0,4.0,0.6699999999999999,-2.5,7.5,1.67,2.0,-1.0
-2272.0,1,-1,-1.0,1.0,-0.65,1.0,0.0,-0.5,1.4,-1.0,1.0
1901.0,1,0,-1.0,1.0,-3.67,5.0,4.0,9.5,9.6,-1.0,1.0
-110.0,0,2,0.0,0.0,-3.0,-2.5,1.5,4.0,6.4,1.0,-1.0
-10484.0,0,-1,1.0,3.0,-3.0,0.5,-0.1300000000000001,-2.0,-2.17,0.0,2.0
