,sequence_number,gold_difference,team_win,herald_difference,dragon_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,score_role
0,1,9038.0,1,2,-1.0,0.0,12.4,-3.0,11.67,3.4,-1.0
1,2,4860.0,0,2,-2.0,2.83,0.5,-1.0,1.0,-2.0,0.0
2,3,4552.0,1,0,-1.0,1.5,-0.1699999999999999,1.0,0.6699999999999999,2.0,1.0
3,4,-608.0,1,1,0.0,-1.5,0.5700000000000001,1.0,-0.8300000000000001,-3.83,0.0
4,5,-6015.0,0,-2,1.0,2.0,-5.0,0.0,-5.5,-6.0,1.0
5,6,-5084.0,0,-2,-1.0,0.92,-1.42,-1.0,-5.75,-10.0,-2.0
6,7,3634.0,0,0,-2.0,7.67,1.25,-1.67,3.0,1.0,1.0
7,8,-8771.0,0,-1,2.0,-1.5,-4.0,-1.5,-6.33,-5.5,1.0
8,9,5556.0,1,-1,-2.0,0.0,10.0,1.0,4.5,10.5,1.0
9,10,2003.0,1,0,-1.0,-1.75,5.67,3.25,1.0,2.75,0.0
10,11,-2458.0,0,-2,1.0,-1.5,0.0,-0.1499999999999999,-3.33,-7.33,-1.0
11,12,-4146.0,0,-1,-1.0,-3.33,-3.0,1.1,-2.0,0.08,0.0
12,13,-6686.0,1,-2,-1.0,-0.33,-2.4,-2.0,-2.67,-6.75,1.0
13,14,-4144.0,0,1,1.0,-7.0,-10.0,-1.5,-9.0,1.0,0.0
14,15,-1287.0,0,-2,0.0,-1.0,-1.0,-3.5,-1.5,1.33,-1.0
15,16,-2686.0,0,-2,1.0,3.0,-1.25,0.0,-5.5,-6.0,0.0
16,17,-345.0,0,-2,-1.0,-2.71,2.5,3.0,6.0,7.0,0.0
17,18,2348.0,1,1,-1.0,1.0,3.0,0.4,2.5,-0.27,-1.0
18,19,124.0,1,0,1.0,0.3299999999999999,5.67,2.0,0.0,0.0,-1.0
19,20,3330.0,1,2,0.0,5.5,1.42,3.25,-3.0,-3.5,2.0
20,21,9940.0,1,2,-2.0,3.0,7.6,2.0,13.33,13.71,2.0
21,22,-4219.0,0,2,2.0,-4.0,-3.5,1.0,-6.0,-2.0,0.0
22,23,4013.0,1,2,0.0,1.83,4.0,0.0,0.5,4.67,0.0
23,24,5604.0,1,2,1.0,3.5,7.5,2.0,6.5,7.0,1.0
24,25,-7059.0,0,-2,-1.0,-5.0,-3.5,-3.0,0.0,-0.5,0.0
25,26,-498.0,1,0,-1.0,-3.67,-3.0,1.5,2.0,5.25,1.0
26,27,9703.0,1,1,0.0,4.0,7.4,4.67,0.0,-2.0,1.0
27,28,7002.0,1,2,-2.0,3.67,3.8,4.0,1.0,6.0,1.0
28,29,3243.0,1,2,1.0,-0.6699999999999999,0.5,-0.5800000000000001,-2.33,-4.0,0.0
29,30,-3783.0,0,-2,-1.0,-7.0,-4.0,-4.0,2.0,2.33,1.0
30,31,87.0,1,2,1.0,6.0,-1.0,-0.66,-5.67,-5.5,0.0
31,32,-1223.0,1,0,2.0,2.5,6.75,-1.0,-1.58,-7.75,1.0
32,33,4937.0,1,1,2.0,2.33,0.0,2.25,2.5,-0.08,0.0
33,34,-4006.0,0,-2,1.0,0.1999999999999999,-5.33,-3.33,2.0,3.0,0.0
34,35,-5247.0,0,-2,-1.0,0.0,-5.0,-2.0,-4.0,-3.0,2.0
35,36,-2020.0,0,2,2.0,2.5,-4.67,0.5,1.5,-4.5,0.0
36,37,4192.0,0,2,-1.0,5.83,-5.75,-5.33,0.4499999999999999,0.33,-2.0
37,38,-4535.0,0,-2,0.0,0.0,-7.2,0.0,-3.0,-4.25,0.0
38,39,-5240.0,0,-2,2.0,-4.25,0.3500000000000001,-4.67,-5.0,-2.33,1.0
39,40,3944.0,1,0,0.0,-1.0,1.25,1.17,-0.33,0.5,1.0
40,41,3081.0,1,-1,2.0,3.0,0.0,0.1699999999999999,-1.5,-0.1699999999999999,0.0
41,42,-5036.0,0,-2,-1.0,-2.67,0.5,0.6600000000000001,5.75,1.0,-1.0
42,43,3136.0,1,0,-1.0,0.5,2.75,7.0,-1.0,-9.17,0.0
43,44,2613.0,1,-2,-1.0,1.33,5.25,-0.08,3.0,7.5,-1.0
44,45,-2999.0,0,0,1.0,-2.0,6.67,-3.17,1.0,1.33,-1.0
45,46,1389.0,1,0,-2.0,0.0,9.0,2.25,7.25,1.5,-2.0
46,47,4821.0,1,2,0.0,2.0,1.5,3.67,3.0,4.0,0.0
47,48,-5725.0,0,-2,2.0,-2.0,-7.75,-3.0,-4.0,-2.08,-1.0
48,49,967.0,0,0,2.0,-5.67,3.0,-1.0,2.0,4.0,0.0
49,50,-18.0,0,0,2.0,-3.5,-2.0,0.5,2.0,2.0,-2.0
50,51,693.0,1,0,1.0,-2.67,-1.5,-1.0,-2.0,-1.0,0.0
51,52,-1216.0,1,2,-1.0,1.33,-4.0,-0.5,-3.0,-0.5,1.0
52,53,-5166.0,0,0,1.0,1.0,-0.8,1.75,-9.25,-9.67,-1.0
53,54,-9207.0,0,-2,2.0,-6.1,-1.4,-4.6,-4.0,-3.5,0.0
54,55,-505.0,0,1,2.0,-2.0,-2.0,-3.33,-1.0,1.0,0.0
55,56,2588.0,1,0,-1.0,3.0,2.35,0.08,3.75,4.0,0.0
56,57,-4571.0,0,-2,1.0,-3.0,-3.5,-6.8,1.66,4.83,-2.0
57,58,4851.0,1,0,-1.0,3.0,6.0,2.0,7.0,7.0,0.0
58,59,3006.0,1,-2,1.0,4.0,2.0,0.5,0.4,2.67,0.0
59,60,-2952.0,0,1,0.0,0.83,-2.0,1.0,-8.8,-4.9,0.0
60,61,3346.0,1,0,0.0,-2.0,0.5,2.0,-0.6699999999999999,0.0,1.0
61,62,3817.0,1,2,-1.0,6.5,3.25,3.8,-9.0,-7.17,0.0
