,Unnamed: 0,gold_difference,team_win,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp
0,7122,1502.0,1,0.0,-1.0,1.5,-3.0,-4.0,0.3299999999999999,-1.0
1,63,12477.0,1,-2.0,-1.0,14.33,2.67,15.71,2.17,5.29
2,6093,-7244.0,1,1.0,1.0,-4.0,-7.33,-0.5,-6.0,-7.0
3,6535,6126.0,1,-1.0,-1.0,-1.0,5.0,7.0,7.0,7.25
4,5456,-13473.0,0,2.0,3.0,-1.5,-7.0,-5.33,-9.0,-8.0
5,3,7030.0,1,1.0,-2.0,1.0,1.0,4.67,4.0,2.1
6,1851,-1614.0,0,-1.0,1.0,-4.8,-12.5,0.0,1.73,-2.0
7,9415,-3472.0,0,1.0,0.0,5.0,-4.33,0.0,0.0,-2.5
8,1632,3133.0,1,2.0,0.0,1.0,1.5,0.75,7.33,0.1699999999999999
9,9718,1380.0,0,0.0,0.0,-1.0,-2.25,-6.0,3.45,1.0
10,1234,95.0,1,-2.0,0.0,-1.75,1.25,-0.4199999999999999,-0.5,0.0
11,1386,-2672.0,0,0.0,1.0,-3.25,-8.0,0.5,-1.0,-7.0
12,546,-5825.0,0,2.0,0.0,0.0,-4.5,-8.0,-3.5,3.33
13,8297,4822.0,1,-1.0,0.0,-1.5,3.0,4.5,3.0,3.0
14,7473,588.0,1,-1.0,1.0,4.75,3.5,-1.4,4.0,1.87
15,4347,-264.0,1,-1.0,1.0,3.33,3.67,2.0,0.1699999999999999,0.0
16,1784,4092.0,0,-1.0,-2.0,2.8,2.0,0.3399999999999998,2.25,-3.0
17,7302,-9139.0,0,2.0,1.0,0.0,-8.0,-8.67,-2.5,-7.5
18,3593,6359.0,1,1.0,-1.0,2.5,7.33,-0.9,2.5,3.0
19,305,-3247.0,1,0.0,1.0,2.5,-0.13,0.8300000000000001,-3.5,-3.0
20,1757,-90.0,1,1.0,0.0,1.0,-9.0,-2.08,-4.0,2.0
21,2424,2086.0,1,1.0,0.0,0.25,-2.0,-1.0,0.5,2.33
22,3761,-353.0,0,1.0,0.0,-2.67,2.5,-1.0,0.0,-2.5
23,2461,-5250.0,1,0.0,-1.0,1.3,-4.0,-6.0,-7.0,-3.5
24,1482,5052.0,0,1.0,-1.0,1.0,11.67,-1.5,0.25,1.42
25,477,490.0,1,-2.0,0.0,-1.67,7.0,5.5,-3.33,5.5
26,3111,-7202.0,0,-1.0,2.0,1.33,-1.83,-5.67,-0.6000000000000001,-1.83
27,5683,7237.0,1,0.0,-2.0,0.5800000000000001,3.0,3.0,4.5,1.0
