top_blue,top_red,jung_blue,jung_red,mid_blue,mid_red,ad_blue,ad_red,support_blue,support_red,gold_difference,team_win,herald_difference,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,top_blue_lane,top_blue_role,top_red_lane,top_red_role,jung_blue_lane,jung_blue_role,jung_red_lane,jung_red_role,mid_blue_lane,mid_blue_role,mid_red_lane,mid_red_role,ad_blue_lane,ad_blue_role,ad_red_lane,ad_red_role,support_blue_lane,support_blue_role,support_red_lane,support_red_role
Kled,Malphite,Lillia,Olaf,Yasuo,Sylas,Zeri,Caitlyn,Milio,Maokai,9038.0,blue,2,-1.0,-3.0,0.0,12.4,-3.0,11.67,3.4,top,Fighter,top,Tank,jungle,Fighter,top,Fighter,top,Fighter,top,Mage,adc,Marksman,adc,Marksman,support,Support,top,Tank
Ornn,Jax,Rengar,Kha'Zix,Katarina,Kassadin,Jinx,Kalista,Pyke,Alistar,4860.0,red,2,-2.0,-3.0,2.83,0.5,-1.0,1.0,-2.0,top,Tank,top,Fighter,top,Assassin,jungle,Assassin,mid,Assassin,mid,Assassin,adc,Marksman,adc,Marksman,support,Support,support,Tank
Milio,Jayce,Zeri,Zed,Ornn,Karthus,Kha'Zix,Kayn,Malzahar,Zilean,4552.0,blue,0,-1.0,0.0,1.5,-0.16999999999999993,1.0,0.6699999999999999,2.0,support,Support,top,Fighter,adc,Marksman,top,Assassin,top,Tank,jungle,Mage,jungle,Assassin,top,Fighter,mid,Mage,mid,Support
Ornn,Udyr,Hecarim,Sylas,Fizz,Renekton,Samira,Vayne,Alistar,Blitzcrank,-608.0,blue,1,0.0,0.0,-1.5,0.5700000000000001,1.0,-0.8300000000000001,-3.83,top,Tank,top,Fighter,jungle,Fighter,top,Mage,mid,Assassin,top,Fighter,adc,Marksman,top,Marksman,support,Tank,support,Tank
Malphite,Mordekaiser,Zac,Gragas,LeBlanc,Tristana,Sivir,Jinx,Milio,Lulu,-6015.0,red,-2,1.0,2.0,2.0,-5.0,0.0,-5.5,-6.0,top,Tank,top,Fighter,top,Tank,top,Fighter,mid,Assassin,mid,Marksman,adc,Marksman,adc,Marksman,support,Support,support,Support
Singed,Cho'Gath,Graves,Hecarim,Katarina,Fizz,Tristana,Samira,Alistar,Pyke,-5084.0,red,-2,-1.0,0.0,0.9199999999999999,-1.42,-1.0,-5.75,-10.0,top,Tank,top,Tank,jungle,Marksman,jungle,Fighter,mid,Assassin,mid,Assassin,mid,Marksman,adc,Marksman,support,Tank,support,Support
Rumble,Jax,Jarvan IV,Bel'Veth,Sylas,Yasuo,Varus,Kai'Sa,Brand,Milio,3634.0,red,0,-2.0,-1.0,7.67,1.25,-1.67,3.0,1.0,top,Fighter,top,Fighter,jungle,Tank,jungle,Fighter,top,Mage,top,Fighter,mid,Marksman,adc,Marksman,support,Mage,support,Support
K'Sante,Karthus,Gragas,Kha'Zix,Fizz,Pantheon,Kog'Maw,Twitch,Lulu,Karma,-8771.0,red,-1,2.0,1.0,-1.5,-4.0,-1.5,-6.33,-5.5,top,Tank,jungle,Mage,top,Fighter,jungle,Assassin,mid,Assassin,top,Fighter,adc,Marksman,adc,Marksman,support,Support,support,Mage
Yone,K'Sante,Sejuani,Hecarim,Cassiopeia,Lissandra,Sivir,Aphelios,Thresh,Alistar,5556.0,blue,-1,-2.0,0.0,0.0,10.0,1.0,4.5,10.5,top,Assassin,top,Tank,jungle,Tank,jungle,Fighter,top,Mage,mid,Mage,adc,Marksman,adc,Marksman,support,Support,support,Tank
Riven,Aatrox,Elise,Master Yi,Yasuo,Kayle,Xayah,Ashe,Rakan,Taric,2003.0,blue,0,-1.0,-1.0,-1.75,5.67,3.25,1.0,2.75,top,Fighter,top,Fighter,jungle,Mage,jungle,Assassin,top,Fighter,top,Fighter,adc,Marksman,adc,Marksman,support,Support,support,Support
