sequence_number,team_win,win_prob
1,1,0.957005021919077
4,1,0.41968317362679264
9,1,0.9188758534940401
11,0,0.1593014355639506
13,1,0.11543760707225767
15,0,0.2763830939830891
18,1,0.7038939671162392
20,1,0.8091065531852194
21,1,0.9865486311187988
24,1,0.8595020402604044
30,0,0.219967549117052
32,1,0.2752498376597033
34,0,0.12585223982911942
36,0,0.22193758922795584
37,0,0.7859601698532153
38,0,0.13575262293902707
40,1,0.7638628058435213
48,0,0.044361192295833116
51,1,0.4031880144556915
59,1,0.5982143500628814
60,0,0.256507897230365
77,0,0.5233926890917106
81,1,0.8416649231793902
89,1,0.9834534615420032
93,1,0.6284584083857194
94,0,0.014065519084908372
96,0,0.4678515204207144
97,1,0.5424857972034198
102,0,0.6018252082369393
104,0,0.20529534908607228
107,1,0.7380074950360048
108,1,0.45556247751139634
109,1,0.5718395075246842
120,0,0.47818253495106827
132,1,0.45973790821876986
136,0,0.39173588056453335
145,1,0.34573543220051844
150,0,0.08783310651790263
158,1,0.30831587199519067
170,1,0.7809577775848201
186,1,0.9572096470792506
212,0,0.38132096814036925
213,1,0.6861199775504726
218,0,0.07380352052022367
222,0,0.07704835966503387
223,1,0.5440388388983406
234,1,0.5798473362894041
240,0,0.25640817995194765
246,1,0.8721030091984063
249,0,0.017906177256263554
252,0,0.034179352086549236
253,0,0.456369822641419
260,1,0.724967865719145
264,0,0.1019245663378899
266,0,0.11971009861589145
268,0,0.30636138556530856
275,1,0.946696115138988
287,1,0.8274641863407617
291,0,0.09247895427866845
292,1,0.5560606370713237
293,0,0.10438947704592799
304,0,0.5617130694288126
305,1,0.45834450809852006
312,0,0.013442853873415627
316,1,0.8912635111534607
317,0,0.06725760230432426
319,0,0.02914858011021261
322,0,0.18848684983929823
324,0,0.22606782774518983
331,0,0.10978996184867543
334,0,0.3175694900665913
335,1,0.7994212311386697
336,0,0.33743853637253074
347,0,0.7438097862928618
348,0,0.44427557795700695
350,1,0.9569941327916089
354,1,0.8851871248450217
361,1,0.9436890616061706
368,1,0.34749732277015355
374,1,0.7420328548742411
377,0,0.38044085396332217
380,0,0.29750087852535173
382,0,0.334156748215676
389,0,0.5487544569693348
394,0,0.07946655541692656
395,1,0.8304357664188711
401,1,0.7784516819151587
409,1,0.8865422949866061
411,0,0.392179702932083
417,0,0.052452314101656426
428,1,0.8829092184344279
440,1,0.9859480876380835
441,1,0.7514188720688756
448,0,0.06260012079458112
451,0,0.43163154185420477
454,1,0.7230723720538141
458,0,0.016308880419212867
462,0,0.019907810319641655
463,1,0.9945114496561106
466,0,0.01928409501844813
468,1,0.9008990293586756
475,1,0.5748842279903196
484,0,0.047395637067482586
488,0,0.36277387037411785
497,0,0.02108655701416852
501,1,0.834399927210355
510,1,0.9565606194754761
511,0,0.42753130404402423
512,0,0.7691053256121873
514,0,0.7499494236208458
519,1,0.946659672988877
533,0,0.031196466032612707
539,1,0.5223243308350395
544,1,0.367245489371687
551,1,0.5298161257424254
555,1,0.29378203489476534
564,0,0.681860550496344
568,1,0.9787543664626037
569,0,0.28129444935383424
577,0,0.12480495821359405
578,1,0.7421111287969642
583,1,0.9048429001220049
587,1,0.9157246715107571
591,0,0.22309839326047434
592,0,0.6470270984094075
593,1,0.7793048448762633
595,1,0.9242699668081037
604,1,0.3235836988968386
606,0,0.42201679427263544
612,0,0.002150678379249173
618,0,0.08927153337807481
621,0,0.01084887554083595
622,1,0.23903651842496002
624,0,0.7056130597931303
625,0,0.05118361984488646
626,0,0.2564734831999651
638,0,0.7265608677467515
648,1,0.3413032862604068
654,1,0.9863204571192311
656,1,0.7955627525942713
669,0,0.9005081404097395
674,1,0.8809266519143786
677,0,0.03594385682696513
684,0,0.15992861619804363
697,0,0.3304038248930422
701,0,0.03176586374004066
705,0,0.30524838159312234
706,1,0.3413951345857723
709,0,0.3023934133943492
711,0,0.077755692310186
712,0,0.087351193110043
713,1,0.48433024864207275
714,1,0.09657037471579716
716,0,0.05216559484445002
725,0,0.5944289665180388
731,0,0.5077539610288893
734,1,0.7958927498642325
736,0,0.1508610313212067
737,0,0.3138886550422087
739,0,0.43367289452591706
743,0,0.8248115745568533
744,1,0.6458477440047494
746,0,0.13439538891993857
748,1,0.13910902060246177
759,0,0.32100838707136603
762,1,0.8899604193697104
764,0,0.16174051550177138
765,0,0.05605640760285412
766,0,0.21651354493606115
767,1,0.9207419073754214
775,1,0.777334744727798
783,1,0.9413464625699955
790,1,0.9581665296722949
795,1,0.5883381584444587
796,0,0.2445237232958241
800,0,0.7151664636477899
810,0,0.06345139781621059
829,0,0.432508639806427
834,1,0.761273263951288
838,0,0.5420646080194471
842,1,0.7386273948510157
851,0,0.30496021436770554
853,0,0.6258339839202813
857,0,0.3108410588907339
859,1,0.35139973403895663
867,0,0.35625889363927143
872,1,0.953540066301214
873,1,0.934359298719013
880,0,0.10121091713692745
884,0,0.10517091158618957
