gold_difference,herald_difference,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,blue_win_percentage,red_win_percentage
1098.0,0.0,-1.0,-1.0,0.0,4.5,-6.0,3.5,0.6699999999999999,61.90767090678545,38.09232909321455
8084.0,0.0,-2.0,-1.0,1.67,6.5,3.5,4.5,1.42,96.05502803103217,3.9449719689678346
259.0,0.0,1.0,0.0,-0.7300000000000001,-1.83,1.75,3.5,0.6699999999999999,42.08601235277706,57.91398764722294
8550.0,1.0,-1.0,-1.0,1.67,4.5,6.0,-2.0,5.0,95.71290679729996,4.287093202700035
12783.0,1.0,0.0,-3.0,7.0,9.6,11.6,5.5,10.0,98.64281136482596,1.3571886351740403
-8865.0,-1.0,1.0,1.0,-1.0,-9.25,1.5,-11.0,-10.75,3.181457129551604,96.8185428704484
2026.0,2.0,1.0,-1.0,-0.8200000000000001,-0.6699999999999999,-0.8300000000000001,1.34,1.73,57.31703446313598,42.68296553686402
5047.0,2.0,-1.0,-2.0,0.8600000000000001,2.5,-3.0,6.0,0.5,86.44317465415965,13.556825345840352
2157.0,2.0,1.0,0.0,4.5,1.0,0.5,4.5,3.0,64.95745373566018,35.04254626433982
1447.0,2.0,-1.0,1.0,-3.67,-0.5,0.0,1.75,2.25,69.43030905594091,30.56969094405909
5083.0,-2.0,1.0,0.0,1.5,2.25,0.0,9.75,9.8,77.17758046352897,22.82241953647103
-738.0,0.0,0.0,0.0,-0.8300000000000001,0.33,-2.0,4.75,1.75,41.48668378418284,58.51331621581716
1248.0,2.0,-1.0,0.0,1.33,1.5,3.0,-1.0,-2.5,69.72104583461639,30.27895416538361
-7195.0,-2.0,0.0,2.0,-3.75,-5.4,-3.5,-10.25,-3.7,6.786671694119619,93.21332830588038
-1654.0,-1.0,0.0,2.0,1.17,7.0,-1.5,8.0,7.8,40.84145030295675,59.15854969704325
3409.0,2.0,1.0,-1.0,2.0,-1.0,-1.5,-4.0,-4.5,68.36565745682756,31.634342543172437
