,gold_difference,team_win,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp
0,1378.0,1,1.0,0.0,7.88,3.0,5.0,-4.67,-5.0
1,-3338.0,0,0.0,0.0,-2.33,-4.33,-4.0,-2.0,-4.4
2,-3431.0,1,0.0,1.0,-0.25,0.8999999999999999,-3.71,-1.67,-4.0
3,-1217.0,1,0.0,0.0,0.9,-0.7000000000000002,-6.25,2.27,-0.3399999999999998
4,-6192.0,0,-1.0,1.0,-3.1,-3.0,-7.0,0.6000000000000001,-3.0
5,608.0,1,-1.0,0.0,1.33,-5.33,5.0,0.0,0.5
6,2284.0,0,-1.0,-1.0,1.5,5.5,0.0,-2.0,-1.5
7,-3304.0,0,2.0,0.0,0.67,-4.0,-3.0,-1.5,1.0
8,-10.0,1,-1.0,1.0,-2.67,-0.33,4.67,2.29,10.33
9,-6176.0,0,2.0,2.0,-6.0,-11.0,-3.0,0.25,0.1999999999999999
10,-4361.0,1,-1.0,1.0,-2.93,-3.5,-0.5,2.0,-2.75
11,-2533.0,1,-1.0,2.0,2.0,-2.0,3.14,-2.33,10.8
12,2061.0,1,1.0,0.0,-1.0,0.0,-2.0,1.08,-3.5
13,-1484.0,1,1.0,-1.0,1.0,0.0,1.0,-9.0,-8.0
14,4603.0,1,0.0,0.0,-3.0,7.0,3.17,-1.6800000000000002,8.0
15,-509.0,1,-1.0,0.0,-2.33,-3.75,-2.5,3.5,2.0
16,11713.0,1,-2.0,-3.0,0.0,-1.67,2.1,12.8,14.0
17,4531.0,0,-1.0,-1.0,3.25,0.0,2.67,-3.0,-3.33
18,4145.0,1,0.0,0.0,3.8,2.08,1.95,1.0,1.0
19,-3702.0,0,1.0,1.0,1.5,-1.33,-6.67,-5.0,1.0
20,-1312.0,1,1.0,1.0,-3.33,-1.5,4.0,-1.25,1.0
21,-1287.0,0,0.0,0.0,-1.0,-1.0,-3.5,-1.5,1.33
22,-5210.0,0,-1.0,2.0,-2.25,-6.0,-5.67,1.0,3.0
23,317.0,0,2.0,0.0,-0.5,-2.7,-5.1,10.83,6.67
24,6784.0,1,-2.0,1.0,2.27,8.33,9.0,7.0,16.83
25,-5466.0,0,1.0,1.0,-4.75,-1.67,-2.75,-1.5,-1.0
26,1500.0,1,0.0,-1.0,-2.0,2.33,-0.8,0.0,-5.0
27,7237.0,1,0.0,-2.0,0.5800000000000001,3.0,3.0,4.5,1.0
28,8109.0,1,-2.0,-1.0,4.0,1.0,2.0,2.67,3.0
29,-9564.0,0,0.0,2.0,-0.5,-13.4,-1.25,-6.7,-2.79
30,-1531.0,1,2.0,1.0,0.83,1.0,-3.0,-3.5,-4.0
31,-4507.0,0,-1.0,0.0,-1.5,-4.5,-3.5,-2.5,-0.6699999999999999
32,8155.0,1,0.0,-2.0,7.6,-2.0,1.5,-2.0,8.0
33,9140.0,1,-1.0,-2.0,6.33,1.86,-4.0,2.17,2.0
34,2847.0,0,0.0,-2.0,2.5,-1.0,-2.5,-1.0,-1.0
35,-9414.0,0,0.0,1.0,0.85,-8.0,-1.0,-6.6,-13.57
36,-5606.0,0,1.0,2.0,-1.58,-10.2,-3.6,3.67,1.0
37,1912.0,1,1.0,0.0,-0.33,-0.4,3.25,1.5,9.0
38,1732.0,0,-1.0,0.0,-1.67,3.5,4.0,1.5,2.67
39,-415.0,0,2.0,0.0,-4.0,4.0,0.0,-1.33,-2.0
40,-897.0,1,1.0,1.0,7.33,4.25,-2.67,-5.33,2.67
41,-3316.0,0,2.0,0.0,-1.5,-2.0,0.5,2.5,-0.5
42,-2116.0,0,0.0,0.0,3.33,-2.0,-3.25,-8.0,-1.75
43,5638.0,1,-1.0,-1.0,0.0,7.5,3.0,6.5,6.75
44,-10343.0,0,2.0,3.0,-1.33,-9.0,-0.5,-1.25,-3.0
45,-7819.0,0,2.0,1.0,-1.0,-3.5,-1.4,-5.0,-5.0
46,-227.0,0,0.0,0.0,0.0,-1.5,-0.6699999999999999,-1.0,-1.5
47,1360.0,1,1.0,-1.0,0.0,-3.0,-0.5,-5.33,0.5
48,-8503.0,0,2.0,1.0,-4.5,-2.33,0.66,-5.0,-1.0
49,-2329.0,0,1.0,0.0,-5.0,-2.0,-0.33,1.0,-4.33
50,385.0,1,-1.0,1.0,1.5,-1.75,-4.0,2.25,1.0
51,-7439.0,0,1.0,0.0,0.0,-5.0,2.5,-6.75,-2.0
52,3165.0,1,-1.0,0.0,4.33,1.67,0.0,0.0,0.0
53,11400.0,1,-1.0,-3.0,1.0,6.75,7.0,13.6,13.6
54,2019.0,1,-1.0,1.0,-0.5,8.5,4.0,2.0,1.0
55,5010.0,1,-1.0,-1.0,1.83,-0.6699999999999999,6.0,-0.2299999999999999,2.8
56,8378.0,1,-1.0,-2.0,3.0,6.67,3.33,-1.5,3.5
57,-1105.0,0,1.0,-1.0,-0.25,-1.0,-3.0,-1.17,3.17
58,4552.0,1,-1.0,0.0,1.5,-0.1699999999999999,1.0,0.6699999999999999,2.0
59,5052.0,0,1.0,-1.0,1.0,11.67,-1.5,0.25,1.42
60,1893.0,0,2.0,-1.0,3.75,3.0,4.0,-2.42,-7.0
61,-2131.0,0,1.0,-1.0,0.66,-2.0,-0.5,-0.55,-5.5
