link,top_blue,top_red,jung_blue,jung_red,mid_blue,mid_red,ad_blue,ad_red,support_blue,support_red,kda_top_blue,kda_top_red,kda_jungle_blue,kda_jungle_red,kda_mid_blue,kda_mid_red,kda_ad_blue,kda_ad_red,kda_sp_blue,kda_sp_red,gold_difference,turret_blue,turret_red,dragon_blue,dragon_red,blue_heralds,red_heralds,team_win
/match/oce/569654542,Camille,Singed,Warwick,Lee Sin,Lissandra,Ahri,Ezreal,Lucian,Sona,Nami,0.5,2.0,1.5,1.4,5.0,3.0,8.0,1.4,2.67,4.0,1289.0,1.0,0.0,1.0,0.0,0,2,blue
/match/oce/569652416,Miss Fortune,Qiyana,Annie,Aatrox,Kennen,Sivir,Graves,Yuumi,Rell,Nidalee,4.0,1.0,3.0,0.33,3.0,1.0,3.5,1.0,4.0,1.0,6398.0,0.0,0.0,0.0,2.0,2,0,blue
/match/oce/569647786,Malphite,Qiyana,Aphelios,Renekton,Viego,Lucian,Syndra,Milio,Lulu,Elise,0.75,6.0,0.4,2.33,0.86,11.0,0.33,17.0,0.2,12.0,-14315.0,1.0,0.0,2.0,0.0,0,1,red
/match/oce/569650418,Bel'Veth,Yone,Nidalee,Shaco,Graves,Gragas,Varus,Soraka,Blitzcrank,Ezreal,2.0,0.0,3.0,0.5,3.0,1.0,5.0,0.0,6.0,1.0,5717.0,0.0,1.0,0.0,1.0,1,1,blue
/match/oce/569649445,Kayle,Fiora,Viego,Fiddlesticks,Rumble,Zed,Jinx,Sivir,Lulu,Sona,1.67,0.8,7.0,2.0,1.0,1.0,5.0,0.0,5.0,0.0,3074.0,0.0,1.0,0.0,2.0,2,0,blue
/match/oce/569655350,Sion,Yone,Karthus,Maokai,Bel'Veth,Ahri,Varus,Draven,Janna,Thresh,2.0,0.0,4.0,2.0,2.0,1.5,0.33,3.0,1.0,4.0,-1324.0,0.0,0.0,2.0,0.0,1,1,red
/match/oce/569651503,Akali,Malphite,Viego,Wukong,Ahri,Twisted Fate,Aphelios,Ezreal,Lux,Senna,6.0,1.0,3.67,0.8,4.33,1.5,2.25,3.0,2.4,1.38,3441.0,0.0,1.0,1.0,0.0,1,1,red
/match/oce/569645101,Miss Fortune,Qiyana,Lissandra,Sett,Irelia,Nilah,Lee Sin,Yuumi,Ashe,Taliyah,0.33,8.0,0.6,10.0,3.0,1.0,0.75,5.0,0.5,2.33,-3075.0,0.0,1.0,1.0,1.0,0,2,red
/match/oce/569641394,Volibear,Camille,Kayn,Ivern,Aurelion Sol,Yone,Jinx,Kai'Sa,Thresh,Amumu,3.5,0.25,2.33,8.0,5.0,2.5,7.0,7.0,1.67,0.8,2133.0,0.0,1.0,1.0,0.0,2,0,blue
/match/oce/569635580,Maokai,Poppy,Bel'Veth,Vi,Kai'Sa,Nasus,Varus,Xayah,Lux,Pyke,4.0,0.33,5.0,1.0,0.5,2.0,4.0,4.0,2.0,3.0,2752.0,0.0,1.0,0.0,1.0,2,0,blue
/match/oce/569641368,Jax,K'Sante,Graves,Evelynn,Lissandra,Ahri,Ezreal,Kai'Sa,Alistar,Senna,3.0,0.5,6.0,1.0,1.0,4.0,5.0,0.5,2.0,1.5,-784.0,0.0,0.0,0.0,2.0,1,1,red
/match/oce/569624883,Cassiopeia,Camille,Lee Sin,Nocturne,Zed,Vladimir,Jinx,Zeri,Amumu,Soraka,0.5,2.0,0.4,14.0,1.0,4.0,0.33,9.0,0.5,10.0,-4371.0,0.0,0.0,2.0,0.0,1,1,red
/match/oce/569626418,Pantheon,Nasus,Neeko,Wukong,Tristana,Lux,Xayah,Caitlyn,Rakan,Nautilus,0.0,3.0,0.67,9.0,0.5,3.0,0.67,4.0,0.5,7.0,-6128.0,1.0,0.0,1.0,0.0,0,1,red
/match/oce/569619919,Riven,Kennen,Kha'Zix,Lee Sin,Aphelios,Lux,Mordekaiser,Xayah,Thresh,Blitzcrank,2.5,4.0,1.0,10.0,0.33,6.0,1.5,1.0,0.5,6.0,-3376.0,0.0,0.0,2.0,0.0,2,0,red
/match/oce/569620272,Gangplank,Vladimir,Lee Sin,Wukong,Ahri,Sylas,Xayah,Kai'Sa,Rakan,Tahm Kench,0.5,2.0,9.0,1.0,6.0,0.67,2.5,1.0,10.0,1.0,5000.0,0.0,1.0,0.0,1.0,0,1,blue
