top_blue,top_red,jung_blue,jung_red,mid_blue,mid_red,ad_blue,ad_red,support_blue,support_red,gold_difference,team_win,herald_difference,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,top_blue_lane,top_blue_role,top_red_lane,top_red_role,jung_blue_lane,jung_blue_role,jung_red_lane,jung_red_role,mid_blue_lane,mid_blue_role,mid_red_lane,mid_red_role,ad_blue_lane,ad_blue_role,ad_red_lane,ad_red_role,support_blue_lane,support_blue_role,support_red_lane,support_red_role,score_blue,score_red,score_blue_role,score_red_role
Bel'Veth,Irelia,Vi,Lee Sin,Brand,Ryze,Xayah,Jinx,Lux,Janna,847.0,blue,0,-1.0,0.0,-0.33000000000000007,-3.3,-2.17,1.67,10.33,jungle,Fighter,top,Fighter,jungle,Fighter,jungle,Fighter,support,Mage,mid,Mage,adc,Marksman,adc,Marksman,mid,Mage,support,Support,2.0,5.0,3.0,4.0
Twitch,Bel'Veth,Nidalee,Jinx,Akali,Vladimir,Zeri,Aphelios,Irelia,Milio,4357.0,blue,2,1.0,-1.0,0.0,0.7,3.0,2.0,0.0,adc,Marksman,jungle,Fighter,jungle,Assassin,adc,Marksman,top,Assassin,top,Mage,adc,Marksman,adc,Marksman,top,Fighter,support,Support,2.0,2.0,3.0,4.0
Gragas,Renekton,Kha'Zix,Lee Sin,Jayce,Aurelion Sol,Jinx,Ezreal,Karma,Senna,4054.0,blue,2,1.0,-1.0,-1.0,5.0,-3.0,9.0,9.8,top,Fighter,top,Fighter,jungle,Assassin,jungle,Fighter,top,Fighter,mid,Mage,adc,Marksman,adc,Marksman,support,Mage,support,Marksman,4.0,5.0,4.0,3.0
Jax,Malphite,Jarvan IV,Lee Sin,Ahri,LeBlanc,Xayah,Aphelios,Blitzcrank,Senna,7030.0,blue,2,1.0,-2.0,1.0,1.0,4.67,4.0,2.1,top,Fighter,top,Tank,jungle,Tank,jungle,Fighter,mid,Mage,mid,Assassin,adc,Marksman,adc,Marksman,support,Tank,support,Marksman,5.0,5.0,4.0,4.0
Gwen,Malphite,Pantheon,Shaco,Ahri,Lissandra,Jinx,Zeri,Nautilus,Milio,4806.0,blue,2,1.0,-1.0,3.0,6.0,0.16999999999999993,4.0,6.75,top,Fighter,top,Tank,top,Fighter,jungle,Assassin,mid,Mage,mid,Mage,adc,Marksman,adc,Marksman,mid,Tank,support,Support,3.0,5.0,4.0,5.0
Shen,Alistar,Lillia,Rek'Sai,Akali,Viktor,Tristana,Xayah,Rell,Kennen,975.0,blue,2,-1.0,1.0,1.0,0.5,2.5,0.33000000000000007,3.33,top,Tank,support,Tank,jungle,Fighter,jungle,Fighter,top,Assassin,mid,Mage,mid,Marksman,adc,Marksman,support,Tank,top,Mage,3.0,3.0,4.0,4.0
Illaoi,Pantheon,Hecarim,Dr. Mundo,Katarina,Vladimir,Lucian,Ezreal,Thresh,Soraka,5534.0,red,2,0.0,0.0,1.0,5.29,9.0,3.75,3.0,top,Fighter,top,Fighter,jungle,Fighter,top,Fighter,mid,Assassin,top,Mage,adc,Marksman,adc,Marksman,support,Support,support,Support,5.0,3.0,4.0,4.0
Malphite,Jayce,Sejuani,Zac,Sylas,Yasuo,Jinx,Aphelios,Blitzcrank,Thresh,2508.0,blue,2,-1.0,1.0,8.83,8.0,4.5,-0.08000000000000007,-4.0,top,Tank,top,Fighter,jungle,Tank,top,Tank,top,Mage,top,Fighter,adc,Marksman,adc,Marksman,support,Tank,support,Support,4.0,3.0,3.0,4.0
Nasus,Gwen,Graves,Viego,Rumble,LeBlanc,Jinx,Twitch,Lulu,Nautilus,-810.0,blue,0,1.0,0.0,-1.0,-2.5,-4.0,-2.0,-3.5,top,Fighter,top,Fighter,jungle,Marksman,jungle,Assassin,top,Fighter,mid,Assassin,adc,Marksman,adc,Marksman,support,Support,mid,Tank,4.0,4.0,3.0,4.0
Illaoi,Gwen,Taliyah,Hecarim,Xerath,Vladimir,Vayne,Jinx,Thresh,Braum,4394.0,blue,1,0.0,-1.0,2.5,4.5,2.0,1.67,7.25,top,Fighter,top,Fighter,jungle,Mage,jungle,Fighter,mid,Mage,top,Mage,top,Marksman,adc,Marksman,support,Support,support,Support,4.0,4.0,4.0,4.0
Sion,Gnar,Hecarim,Karthus,LeBlanc,K'Sante,Kog'Maw,Samira,Lulu,Leona,726.0,blue,0,2.0,1.0,-4.0,4.5,3.0,1.0,1.0,top,Tank,top,Fighter,jungle,Fighter,jungle,Mage,mid,Assassin,top,Tank,adc,Marksman,adc,Marksman,support,Support,support,Tank,5.0,4.0,5.0,4.0
Kled,Malphite,Ekko,Poppy,Kindred,Cassiopeia,Kai'Sa,Jinx,Nautilus,Braum,4767.0,red,2,-2.0,0.0,-3.25,7.25,2.67,4.5,6.5,top,Fighter,top,Tank,jungle,Assassin,top,Tank,jungle,Marksman,top,Mage,adc,Marksman,adc,Marksman,mid,Tank,support,Support,3.0,3.0,4.0,4.0
Singed,Malphite,Poppy,Lee Sin,Yone,Yasuo,Caitlyn,Xerath,Lux,Karma,-2132.0,blue,0,-1.0,0.0,2.0,4.67,0.0,-7.5,-3.0,top,Tank,top,Tank,top,Tank,jungle,Fighter,top,Assassin,top,Fighter,adc,Marksman,mid,Mage,mid,Mage,support,Mage,2.0,3.0,4.0,3.0
Nasus,Pantheon,Bel'Veth,Lillia,LeBlanc,Syndra,Xayah,Aphelios,Janna,Senna,396.0,red,2,1.0,0.0,-0.83,2.17,-2.5,6.75,8.67,top,Fighter,top,Fighter,jungle,Fighter,jungle,Fighter,mid,Assassin,mid,Mage,adc,Marksman,adc,Marksman,support,Support,support,Marksman,5.0,5.0,4.0,3.0
Illaoi,K'Sante,Kha'Zix,Graves,Taliyah,Akali,Veigar,Zeri,Pyke,Lulu,-653.0,blue,0,2.0,-1.0,-1.5,-5.0,1.0,-1.0,-7.0,top,Fighter,top,Tank,jungle,Assassin,jungle,Marksman,jungle,Mage,top,Assassin,mid,Mage,adc,Marksman,support,Support,support,Support,3.0,4.0,4.0,4.0
Riven,Yone,Zac,Gragas,Annie,Viktor,Jinx,Ezreal,Janna,Renata Glasc,-4908.0,red,-1,1.0,1.0,-2.0,-4.0,2.0,-1.5,-4.0,top,Fighter,top,Assassin,top,Tank,top,Fighter,mid,Mage,mid,Mage,adc,Marksman,adc,Marksman,support,Support,support,Support,4.0,4.0,5.0,5.0
