gold_difference,team_win,herald_difference,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,score_lane,score_role,win_score_difference
549.0,1,1,1.0,-2.0,3.0,-5.0,-6.57,-1.83,-3.0,-2.0,0.0,-8.120000000000005
-4241.0,0,-1,2.0,1.0,1.0,-7.0,-3.83,-3.0,-3.0,5.0,-1.0,44.05999999999995
2237.0,1,0,-1.0,-1.0,0.5,4.5,-1.0,1.33,6.75,0.0,-1.0,7.969999999999963
-5263.0,0,-2,2.0,0.0,-2.0,-1.0,-1.5,1.0,-6.67,1.0,1.0,5.249999999999979
1539.0,1,0,1.0,0.0,5.6,-0.5,-0.92,3.0,4.67,-1.0,-1.0,0.9199999999999732
-7357.0,0,-2,0.0,0.0,-0.33,-4.75,-7.0,-1.67,-3.7,1.0,-1.0,-5.800000000000011
228.0,0,-1,0.0,0.0,0.0,1.0,-2.67,4.2,2.3,-1.0,0.0,7.720000000000027
-959.0,0,0,1.0,0.0,0.5,-2.5,-1.42,-1.5,-3.5,0.0,-1.0,-1.0400000000000205
-4306.0,0,-1,-1.0,2.0,-1.25,-9.33,-8.5,1.33,-5.67,1.0,-1.0,-28.52
6951.0,0,2,1.0,-1.0,4.0,-1.4,3.0,3.6,5.67,3.0,0.0,39.06000000000001
8985.0,1,2,-2.0,-1.0,4.0,5.3,1.92,4.7,9.4,0.0,0.0,-110.78
-294.0,0,-2,1.0,0.0,-9.0,0.33,1.5,2.83,5.0,-1.0,1.0,6.869999999999976
2095.0,1,2,-2.0,0.0,0.8300000000000001,2.0,3.0,0.0,-1.0,-1.0,0.0,-40.85999999999997
-3174.0,0,-2,-1.0,0.0,-4.67,-2.66,-6.0,-1.0,-7.0,-1.0,-1.0,6.609999999999957
4009.0,0,2,-1.0,-1.0,0.0,5.5,0.0,5.0,7.0,3.0,1.0,3.05000000000004
-2714.0,0,0,2.0,0.0,-0.5,-2.17,-5.0,-1.2,-5.5,-2.0,0.0,-70.78
2811.0,1,2,-2.0,-1.0,-0.92,4.0,-0.5,-0.1699999999999999,3.5,0.0,-1.0,-1.190000000000012
-978.0,0,2,1.0,0.0,-5.83,3.25,5.0,-1.0,0.25,1.0,-2.0,-6.809999999999995
6715.0,1,2,1.0,-1.0,-1.0,-1.75,3.4,7.0,1.83,1.0,-1.0,-1.2400000000000162
3819.0,0,0,1.0,-1.0,5.67,9.0,5.33,-3.33,0.0,-2.0,2.0,-146.13
-1709.0,1,1,-1.0,0.0,-0.83,3.0,7.67,1.25,2.0,1.0,0.0,9.229999999999968
-1148.0,1,0,-1.0,0.0,-2.0,-1.5,-0.1699999999999999,-5.5,-3.0,1.0,0.0,3.710000000000037
1814.0,0,0,1.0,0.0,-0.5,-5.0,-1.0,4.0,1.5,0.0,1.0,0.7000000000000384
745.0,0,-2,0.0,0.0,-1.0,5.5,0.9,0.5,-1.5,0.0,0.0,-17.919999999999995
-849.0,0,2,1.0,0.0,-2.0,-1.0,0.0,-3.0,-1.0,0.0,0.0,24.19999999999996
2159.0,1,2,0.0,0.0,-1.5,4.0,0.0,2.5,2.0,0.0,1.0,11.760000000000034
607.0,0,-1,-1.0,0.0,-3.67,-1.0,1.25,-1.0,-1.0,0.0,-2.0,-6.320000000000015
12480.0,1,1,-1.0,-2.0,3.0,4.47,7.5,12.62,4.33,2.0,0.0,70.00999999999999
-2011.0,0,2,1.0,0.0,3.25,2.5,0.75,-4.2,-7.0,1.0,1.0,-2.299999999999983
1992.0,1,2,-2.0,-1.0,-0.5,-0.5,3.67,7.67,0.33,1.0,1.0,0.6100000000000065
-1223.0,1,0,2.0,0.0,2.5,6.75,-1.0,-1.58,-7.75,1.0,1.0,-1.0800000000000196
2679.0,1,1,0.0,0.0,2.1,-0.6699999999999999,0.0,4.67,0.0,-2.0,0.0,52.74
7525.0,1,2,1.0,-2.0,0.0,10.2,8.33,8.0,8.25,1.0,1.0,5.370000000000019
2343.0,1,1,-1.0,0.0,2.33,5.0,-0.55,2.53,-1.0,-1.0,-1.0,1.8899999999999864
-3036.0,0,0,1.0,1.0,1.0,2.0,-1.0,-9.0,-6.0,2.0,1.0,0.8099999999999952
1632.0,0,1,1.0,-1.0,0.25,7.5,1.67,-0.5,-0.33,-3.0,-1.0,-28.869999999999976
1000.0,0,2,0.0,0.0,4.67,1.0,-1.0,-0.5,-6.25,1.0,-2.0,7.0500000000000185
-5442.0,0,-2,2.0,1.0,-2.0,-6.5,-6.75,1.0,2.0,-3.0,0.0,-5.099999999999994
4733.0,0,2,-2.0,-2.0,3.0,1.5,-4.5,2.66,0.0,-2.0,-1.0,9.189999999999976
-3475.0,0,0,0.0,1.0,1.0,-7.25,1.0,-1.0,-2.0,0.0,0.0,-34.5
5484.0,1,2,-1.0,-1.0,1.17,-0.5,4.0,2.0,1.25,1.0,-1.0,-17.330000000000013
-832.0,0,0,1.0,0.0,1.0,2.5,0.5,-1.0,0.5,-1.0,0.0,-12.449999999999989
-4759.0,0,0,1.0,1.0,-2.67,-4.13,-0.5,-10.5,-3.67,1.0,2.0,10.470000000000027
2030.0,1,0,1.0,-1.0,-2.0,-4.0,0.5,0.0,-0.8300000000000001,1.0,0.0,17.039999999999992
-3612.0,1,2,1.0,0.0,1.0,-1.0,0.0,-0.6600000000000001,-1.67,1.0,0.0,15.230000000000004
4748.0,1,0,1.0,0.0,0.6699999999999999,0.0,-0.75,1.25,4.29,2.0,1.0,11.879999999999974
1059.0,1,0,-2.0,0.0,0.5,11.67,0.0,1.67,12.2,1.0,2.0,15.860000000000008
914.0,0,2,1.0,-1.0,1.0,-7.4,0.0,-1.83,-6.0,-1.0,1.0,13.31000000000001
2453.0,1,-1,0.0,-1.0,-0.33,-0.05,1.83,-4.0,-0.33,1.0,2.0,25.39
-2377.0,0,-1,-1.0,0.0,-2.33,-1.75,-1.25,0.0,-2.0,1.0,-1.0,-8.519999999999996
282.0,1,2,0.0,0.0,0.0,4.0,1.5,0.5,1.83,2.0,0.0,52.32
417.0,0,0,2.0,0.0,-3.5,-3.0,-2.0,-1.0,-1.0,1.0,-1.0,6.95999999999998
565.0,0,1,1.0,0.0,2.0,-3.5,-6.5,-5.5,0.33,0.0,-1.0,-39.98
-4831.0,0,-2,1.0,1.0,2.0,-5.0,-2.0,-5.67,-1.67,2.0,1.0,4.819999999999993
2396.0,0,0,0.0,0.0,2.0,3.0,0.5,2.5,4.5,1.0,-1.0,3.5599999999999525
-2537.0,0,-2,1.0,1.0,-1.0,1.0,-0.5,-2.0,2.0,2.0,1.0,1.1699999999999946
-1262.0,1,-2,1.0,0.0,2.67,-1.5,-3.0,-2.0,-7.0,1.0,-2.0,39.12999999999999
-2010.0,0,0,1.0,1.0,-2.0,-1.0,-4.0,-4.0,-6.0,0.0,-1.0,-2.5900000000000105
-7721.0,0,-2,1.0,0.0,-2.4,-10.0,-0.83,-12.6,-14.8,-1.0,0.0,-1.3799999999999957
-674.0,0,0,1.0,0.0,2.5,-1.0,-2.0,-0.6699999999999999,-2.25,0.0,-1.0,0.9399999999999976
5678.0,1,2,-2.0,0.0,-0.5,12.0,1.2000000000000002,5.33,5.0,0.0,0.0,13.000000000000014
1977.0,0,2,0.0,0.0,0.25,0.0,0.33,1.0,3.0,-2.0,0.0,-90.54999999999998
1880.0,1,2,1.0,0.0,-1.6,-2.0,0.5,-3.0,-3.0,0.0,2.0,1.1599999999999753
2611.0,1,0,0.0,0.0,0.0,4.0,3.75,-3.67,-5.0,0.0,2.0,2.07999999999997
-3177.0,1,0,1.0,1.0,0.0,1.75,2.17,-3.83,-3.0,0.0,0.0,11.750000000000014
-5375.0,0,2,-1.0,1.0,4.0,0.5,-4.0,-8.2,-1.0,0.0,-1.0,14.720000000000011
-5864.0,0,0,1.0,1.0,-0.4,-0.25,-1.5,-1.9,-4.0,-1.0,0.0,-5.589999999999975
6854.0,1,2,-2.0,0.0,2.0,-2.0,1.5,1.25,7.0,3.0,1.0,57.41999999999999
2777.0,0,-2,-2.0,0.0,-1.5,-0.25,4.7,2.0,-0.08,1.0,-1.0,-14.29
2095.0,1,2,1.0,-1.0,6.83,1.0,-0.95,-6.0,-7.5,1.0,2.0,12.550000000000004
10274.0,1,2,-2.0,0.0,-1.5,16.25,12.8,4.75,11.8,-1.0,-1.0,17.530000000000015
3249.0,1,0,0.0,0.0,0.5,-1.47,1.0,4.0,2.0,0.0,-1.0,-0.7200000000000202
3234.0,1,2,-1.0,-1.0,-0.3299999999999999,4.0,1.0,5.0,6.0,0.0,0.0,0.0799999999999627
-4668.0,0,-2,2.0,1.0,-3.0,1.5,1.0,-1.83,1.25,-1.0,0.0,-128.39999999999998
691.0,0,2,0.0,0.0,9.8,0.33,-4.0,-4.75,-9.0,2.0,1.0,-1.5300000000000225
-3348.0,0,0,1.0,0.0,-1.0,-0.33,-4.0,-1.0,-5.0,0.0,-1.0,3.480000000000018
