gold_difference,team_win,herald_difference,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,score_lane,score_role
2023.0,1,2,1.0,0.0,4.75,0.1699999999999999,7.5,-8.4,-1.58,0.0,-1.0
2668.0,0,2,-1.0,-1.0,-1.2,0.5,-2.0,-0.5,-1.0,0.0,1.0
-1868.0,0,-2,0.0,0.0,-2.17,3.67,-6.67,0.1499999999999999,0.0,0.0,-1.0
-5964.0,0,-2,1.0,0.0,-1.33,-4.0,-3.5,2.0,-0.25,1.0,0.0
3963.0,0,0,-1.0,0.0,0.83,7.5,7.0,8.5,7.33,-1.0,-1.0
4787.0,1,2,0.0,-1.0,4.0,2.5,-2.0,7.67,-1.0,-1.0,-1.0
-9333.0,0,-2,1.0,1.0,-3.0,-0.92,-5.93,-2.9,-0.75,1.0,-1.0
-4820.0,0,1,1.0,0.0,-6.0,-7.0,-2.0,-2.0,-4.0,-1.0,0.0
-8238.0,0,-2,1.0,2.0,-1.5,0.0,-5.2,-2.33,-2.67,1.0,1.0
-1728.0,1,-2,0.0,0.0,-0.8300000000000001,-6.5,0.0,-1.67,-6.67,1.0,0.0
-979.0,0,0,-2.0,0.0,-0.6699999999999999,2.0,2.0,1.0,-4.0,1.0,-1.0
-2351.0,0,0,2.0,0.0,-0.83,-2.5,1.67,-0.33,-7.0,-3.0,-1.0
-5395.0,1,-2,0.0,1.0,1.0,-1.5,-3.0,3.67,-6.0,0.0,0.0
-5245.0,0,-2,2.0,1.0,2.5,-1.5,-7.0,-6.0,1.0,3.0,0.0
1781.0,1,2,-1.0,0.0,1.0,1.0,-0.83,6.25,5.0,-1.0,0.0
-3136.0,0,-2,2.0,0.0,-1.5,-10.0,-6.0,-0.6699999999999999,-10.33,0.0,0.0
1268.0,0,1,0.0,0.0,2.0,-0.8300000000000001,-1.0,1.5,3.4,2.0,-1.0
3734.0,1,2,-1.0,0.0,4.0,2.5,-4.0,1.0,6.25,1.0,0.0
-492.0,1,0,1.0,0.0,-2.67,-4.33,0.5,-0.5,-1.5,0.0,1.0
958.0,1,0,1.0,1.0,5.75,6.0,2.83,-3.1,-2.5,0.0,0.0
