gold_difference,team_win,herald_difference,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,score_lane,score_role,win_score_difference
-452.0,0,0,2.0,0.0,3.5,2.5,-2.0,-3.5,2.0,0.0,-1.0,-99.2
-4054.0,0,0,2.0,0.0,1.5,-4.25,-5.0,2.0,4.0,1.0,0.0,-16.17000000000003
-3018.0,0,-2,0.0,0.0,0.0,-8.67,-3.1,-3.67,-3.0,-2.0,0.0,-1.0500000000000185
207.0,0,0,-1.0,0.0,6.33,0.6699999999999999,-5.33,0.0,2.0,1.0,1.0,-18.840000000000003
1694.0,0,1,1.0,0.0,1.5,1.0,1.33,-2.0,5.17,-2.0,0.0,-5.960000000000008
-6130.0,0,-2,1.0,2.0,-5.0,3.0,0.33,0.0,5.25,2.0,1.0,7.170000000000016
1472.0,0,0,1.0,0.0,-2.67,2.0,1.5,2.67,5.0,1.0,0.0,6.089999999999989
3064.0,1,0,1.0,-1.0,-1.0,2.0,1.5,0.0,1.5,2.0,1.0,23.630000000000003
9215.0,1,2,-2.0,-1.0,1.1,3.0,7.0,1.0,5.0,-1.0,1.0,6.270000000000017
-1068.0,1,1,1.0,0.0,-2.25,-0.33,3.0,0.33,0.0,0.0,1.0,4.460000000000008
-2335.0,0,0,-1.0,1.0,-1.0,-2.0,1.83,-3.0,-2.0,2.0,1.0,-9.499999999999991
-1522.0,0,0,-1.0,0.0,-4.67,-4.5,-2.75,4.5,3.0,0.0,0.0,-5.129999999999988
6544.0,1,2,1.0,-3.0,5.0,-6.0,0.25,1.67,-2.8,1.0,0.0,4.259999999999998
-2180.0,0,-2,1.0,0.0,-2.5,0.75,0.0,-4.5,-0.33,1.0,1.0,-13.879999999999988
2795.0,0,-1,0.0,0.0,-1.0699999999999998,2.0,-5.33,6.0,3.5,-2.0,-1.0,14.40999999999999
155.0,0,-1,1.0,0.0,1.0,-1.17,-5.0,0.0,2.0,0.0,1.0,-17.779999999999973
2784.0,0,2,1.0,0.0,-0.7,2.17,4.0,0.66,3.0,-2.0,-1.0,15.329999999999949
3549.0,1,1,2.0,0.0,1.5,-1.67,-2.0,-1.0,-2.0,0.0,-1.0,15.440000000000012
-10682.0,0,-1,1.0,2.0,-1.0,-8.75,-3.0,-7.0,-4.3,0.0,-1.0,-0.3399999999999821
-3625.0,0,2,0.0,-1.0,-0.2299999999999999,-6.0,-5.2,1.25,1.0,1.0,0.0,-0.7399999999999878
-914.0,1,-2,0.0,-1.0,4.5,2.34,0.5,0.0,4.0,-2.0,1.0,9.369999999999996
494.0,1,0,0.0,0.0,0.33,0.0,-6.8,0.0,0.0,0.0,0.0,-93.85
-4587.0,0,-2,-1.0,2.0,-5.5,-1.6,0.25,0.0,-3.0,1.0,0.0,4.7600000000000335
3790.0,1,0,-1.0,0.0,2.0,8.17,6.0,-0.5,0.5,0.0,-1.0,-12.020000000000024
4747.0,1,0,-1.0,-1.0,0.5,7.0,0.6699999999999999,9.0,2.5,1.0,2.0,6.870000000000026
-1056.0,0,-2,1.0,2.0,3.0,-2.0,0.0,-4.5,0.0,1.0,0.0,1.1499999999999917
-5070.0,1,-2,-1.0,2.0,-0.83,1.67,0.0,-5.0,-6.17,1.0,0.0,74.73000000000003
-5439.0,0,-2,0.0,1.0,-3.0,-1.67,-8.86,0.0,0.6699999999999999,-3.0,1.0,17.83
466.0,0,0,1.0,0.0,2.67,7.33,-2.0,8.75,-0.7,2.0,1.0,0.0699999999999718
