link,top_blue,top_red,jung_blue,jung_red,mid_blue,mid_red,ad_blue,ad_red,support_blue,support_red,gold_difference_at_20_minutes,turret_difference_at_20_minutes,dragon_difference_at_20_minutes,KDA_blue,KDA_red,Blue_Heralds_killed,Red_Heralds_killed,Team_Win,kda_top_blue,kda_top_red,kda_jungle_blue,kda_jungle_red,kda_mid_blue,kda_mid_red,kda_ad_blue,kda_ad_red,kda_sp_blue,kda_sp_red
/match/lan/1382293602,Darius,Ryze,Kayn,Gragas,Yone,Renekton,Vayne,Aphelios,Swain,Senna,-8865.0,-6.0,-2.0,27 / 24 / 48,24 / 27 / 26,1,1,red,1.4,2.67,2.33,2.5,1.0,3.0,2.0,4.0,3.0,1.67
/match/lan/1382284541,Pantheon,Kayle,Kindred,Jax,Akali,Galio,Jhin,Karma,Thresh,Seraphine,6048.0,2.0,0.0,48 / 34 / 77,34 / 48 / 54,1,1,red,3.0,1.25,2.4,1.25,2.75,0.8,7.0,1.33,11.0,0.5
/match/lan/1382282378,Jayce,Kayn,Kha'Zix,Vayne,Malzahar,Vladimir,Caitlyn,Camille,Lulu,Milio,-6970.0,-1.0,1.0,24 / 45 / 29,45 / 25 / 47,0,0,red,0.25,7.0,0.33,19.0,1.0,1.75,0.8,3.33,0.29,5.0
/match/lan/1382273799,Shen,Gangplank,Kha'Zix,Diana,Cassiopeia,Yasuo,Jhin,Vayne,Sona,Milio,-1428.0,-3.0,0.0,31 / 35 / 45,35 / 31 / 66,0,2,red,2.0,3.0,10.0,2.25,1.2,2.33,2.5,2.5,1.0,2.33
/match/lan/1382272566,Wukong,Jax,Viego,Warwick,Annie,Veigar,Xayah,Jinx,Rakan,Janna,3708.0,1.0,2.0,38 / 20 / 62,20 / 38 / 27,0,2,blue,1.5,1.33,3.5,0.83,11.0,0.33,10.0,0.6,3.25,8.0
/match/lan/1382264650,Ornn,Darius,Graves,Jarvan IV,Viktor,LeBlanc,Caitlyn,Lucian,Thresh,Nami,-9580.0,-5.0,-2.0,20 / 34 / 41,34 / 20 / 44,0,2,red,0.67,2.0,1.0,11.0,0.0,7.0,3.0,2.5,1.25,6.0
/match/lan/1382263176,Cho'Gath,Garen,Evelynn,Diana,Katarina,Qiyana,Ashe,Jinx,Blitzcrank,Morgana,-5143.0,-3.0,-2.0,26 / 36 / 32,36 / 26 / 47,1,1,red,0.33,3.0,12.0,2.5,0.6,3.33,3.0,2.25,2.67,2.5
/match/lan/1382255964,Sion,Rumble,Viego,Warwick,Sylas,Talon,Jinx,Kai'Sa,Senna,Nautilus,-22.0,0.0,0.0,28 / 23 / 47,23 / 28 / 28,1,0,blue,0.6,2.0,8.0,1.2,3.5,1.0,1.75,13.0,1.14,6.0
/match/lan/1382251932,Urgot,Aatrox,Kha'Zix,Shaco,Ahri,Fizz,Aphelios,Jinx,Zyra,Alistar,10229.0,3.0,3.0,36 / 15 / 57,14 / 36 / 20,1,1,blue,2.33,2.0,7.0,0.57,4.0,2.0,8.0,0.38,19.0,0.62
/match/lan/1382247291,Cho'Gath,Lucian,Hecarim,Zac,Orianna,Yorick,Samira,Nami,Pyke,Karma,-2462.0,-2.0,-2.0,23 / 42 / 42,42 / 23 / 63,1,1,red,8.0,0.33,3.0,9.0,1.0,1.67,0.25,3.67,2.67,6.0
/match/lan/1382240667,Rengar,Jinx,Yone,Darius,Ryze,Twisted Fate,Zilean,Milio,Ekko,Nocturne,-6807.0,-2.0,-2.0,10 / 28 / 17,28 / 10 / 71,0,2,red,0.17,8.0,2.0,1.5,0.0,8.0,0.33,5.0,0.5,8.0
/match/lan/1382234169,K'Sante,Sett,Master Yi,Ekko,LeBlanc,Vladimir,Kai'Sa,Sivir,Nautilus,Senna,799.0,-1.0,0.0,35 / 37 / 52,37 / 35 / 78,2,0,red,2.0,0.5,9.0,2.0,1.67,6.0,2.0,2.4,2.75,2.6
/match/lan/1382234088,Volibear,Sejuani,Sylas,Nunu & Willump,Xin Zhao,Qiyana,Vayne,Jinx,Leona,Milio,-3110.0,2.0,-2.0,20 / 34 / 24,34 / 20 / 75,1,1,red,2.5,3.0,2.25,3.5,0.6,4.5,1.25,3.33,1.2,6.5
/match/lan/1382229736,Gnar,Jayce,Kayn,Lillia,Yone,Aurelion Sol,Jinx,Caitlyn,Milio,Thresh,-2047.0,-2.0,-2.0,19 / 23 / 28,23 / 20 / 32,2,0,red,4.0,0.0,1.25,10.0,2.5,0.33,1.0,3.5,0.67,5.0
/match/lan/1382221896,Viego,Irelia,Master Yi,Bel'Veth,Malzahar,Zoe,Draven,Jhin,Lulu,Nami,247.0,-2.0,-1.0,23 / 18 / 30,17 / 23 / 18,1,1,blue,0.67,1.75,4.0,3.0,5.0,1.0,1.2,4.0,3.5,1.2
/match/lan/1382217292,Garen,Mordekaiser,Wukong,Zed,Sylas,Syndra,Miss Fortune,Kai'Sa,Seraphine,Karma,5428.0,3.0,3.0,39 / 19 / 50,19 / 39 / 31,2,0,blue,5.0,1.5,6.5,2.0,4.5,0.5,4.0,1.17,4.0,1.8
/match/lan/1382215411,Aatrox,Rumble,Ekko,Vi,Galio,Zac,Xayah,Ezreal,Thresh,Nami,2173.0,-2.0,2.0,38 / 15 / 71,15 / 38 / 15,1,1,blue,0.0,2.5,9.0,1.0,4.5,0.67,8.0,0.0,6.0,0.33
