link,gold_difference_at_20_minutes,turret_difference_at_20_minutes,dragon_difference_at_20_minutes,Team_Win,kda_top_blue,kda_top_red,kda_jungle_blue,kda_jungle_red,kda_mid_blue,kda_mid_red,kda_ad_blue,kda_ad_red,kda_sp_blue,kda_sp_red,herald_difference_at_20_minutes
/match/br/2721472525,4983.0,1.0,2.0,blue,5.0,0.0,2.5,1.6,3.0,2.0,4.33,0.8,5.0,1.6,0
/match/br/2721469891,-1095.0,0.0,-2.0,red,0.38,1.33,2.0,5.0,1.0,8.0,9.0,1.0,3.67,5.5,-2
/match/br/2721473171,-11162.0,-3.0,-2.0,red,1.25,4.5,0.67,5.5,1.2,8.0,1.0,4.0,0.25,2.67,1
/match/br/2721464706,4214.0,5.0,-2.0,blue,3.2,2.17,1.5,1.2,3.0,1.4,3.5,1.25,4.0,2.4,2
/match/br/2721463785,-2200.0,-1.0,0.0,red,1.25,2.0,2.6,1.83,3.67,2.0,1.11,3.0,4.67,2.2,1
/match/br/2721453946,-1031.0,2.0,3.0,blue,0.8,4.5,2.0,4.0,1.67,3.33,1.0,6.0,2.0,5.0,1
/match/br/2721451844,-7425.0,-4.0,-2.0,red,1.33,1.67,0.75,8.0,1.5,3.5,0.0,7.0,0.5,7.0,-2
/match/br/2721457086,-5593.0,-3.0,2.0,red,0.27,5.33,2.0,3.25,2.0,3.0,4.0,2.25,2.0,2.0,1
/match/br/2721443475,-5844.0,-3.0,-1.0,red,4.5,7.0,1.14,2.4,2.2,3.33,4.33,1.0,4.67,1.0,-2
/match/br/2721446240,2597.0,2.0,1.0,blue,3.0,1.33,4.0,2.0,5.0,1.0,1.5,3.0,2.0,3.0,2
/match/br/2721440678,2249.0,1.0,2.0,blue,2.5,0.67,9.0,0.75,8.0,0.0,2.0,4.0,8.0,4.0,2
/match/br/2721431770,5696.0,4.0,0.0,blue,0.75,4.0,3.67,2.5,3.5,1.6,2.0,1.5,3.0,2.25,1
/match/br/2721427891,2392.0,3.0,-2.0,red,0.2,3.0,0.5,14.0,1.0,9.0,1.0,1.4,9.0,3.0,2
/match/br/2721429395,-5484.0,-3.0,-2.0,red,2.0,5.0,1.5,14.0,0.6,6.67,2.75,2.14,1.44,4.25,-2
/match/br/2721420135,-8885.0,-3.0,-3.0,red,0.0,6.0,0.5,4.0,0.0,3.0,1.5,1.25,1.5,4.5,-2
/match/br/2721419176,-6558.0,0.0,0.0,red,3.0,1.0,1.0,5.0,1.0,10.0,0.75,11.0,0.67,5.0,0
/match/br/2721416386,3256.0,3.0,-1.0,blue,5.0,0.67,10.0,3.0,3.0,1.0,1.33,1.33,1.75,2.5,0
/match/br/2721407964,1940.0,0.0,0.0,red,5.0,2.5,2.0,4.33,1.0,6.5,2.75,0.8,2.0,3.5,-1
/match/br/2721405027,-12467.0,-4.0,-3.0,red,0.17,2.67,0.86,11.0,0.29,5.0,2.0,2.75,1.0,8.0,-2
/match/br/2721391997,-5284.0,-1.0,0.0,red,0.86,0.62,2.0,14.0,1.75,5.5,1.0,3.67,0.62,2.83,0
/match/br/2721393211,3821.0,2.0,-2.0,blue,2.25,2.2,4.33,2.67,3.0,6.0,2.0,3.0,2.5,1.67,2
/match/br/2721387808,1002.0,4.0,-2.0,blue,2.0,0.5,0.75,6.5,1.0,2.25,1.5,2.5,3.33,4.67,0
/match/br/2721387735,-5969.0,-3.0,-2.0,red,1.2,4.0,0.86,5.33,2.5,2.67,0.56,2.8,3.33,2.0,0
/match/br/2721388367,-1532.0,0.0,-2.0,red,0.57,1.4,1.75,2.8,1.33,1.33,1.5,10.0,1.5,6.0,2
/match/br/2721381879,-4893.0,-2.0,2.0,blue,3.0,13.0,1.14,4.2,0.8,2.5,16.0,2.33,1.5,1.62,-2
/match/br/2721376844,4676.0,3.0,0.0,red,2.33,0.33,3.0,9.0,8.0,0.83,3.5,0.75,3.0,7.0,1
/match/br/2721373626,-334.0,0.0,3.0,red,6.0,1.5,1.25,2.67,1.0,4.0,3.5,4.0,2.0,9.0,2
/match/br/2721361838,3177.0,1.0,-2.0,red,2.33,1.17,3.25,1.62,5.33,1.2,0.4,2.25,7.0,1.43,2
/match/br/2721364320,-2472.0,0.0,-2.0,red,0.8,4.5,2.33,2.6,4.0,2.5,2.67,2.6,2.0,2.17,0
/match/br/2721363356,-5156.0,-3.0,-2.0,red,1.33,2.0,0.67,6.0,2.0,2.33,1.0,10.0,0.8,3.0,-2
/match/br/2721363216,-6771.0,-2.0,-2.0,red,1.2,5.33,1.12,2.17,1.33,7.0,1.0,2.0,2.0,6.0,1
/match/br/2721351626,5578.0,3.0,2.0,blue,1.0,2.0,8.0,3.0,4.5,3.0,2.25,3.5,3.0,1.5,2
/match/br/2721345088,6975.0,3.0,2.0,blue,0.14,4.5,8.0,2.67,3.33,1.25,11.0,0.29,15.0,0.67,0
/match/br/2721335896,3733.0,2.0,-1.0,blue,7.0,0.5,7.0,0.64,2.67,0.75,1.75,3.0,2.2,12.0,2
/match/br/2721338396,2220.0,1.0,2.0,blue,1.0,1.0,6.5,1.5,0.5,7.0,11.0,3.5,12.0,1.2,0
/match/br/2721333252,10367.0,3.0,1.0,blue,5.5,1.75,6.0,0.62,7.5,1.2,13.0,0.5,3.25,1.5,2
/match/br/2721326613,9825.0,4.0,2.0,blue,2.0,0.67,7.0,1.25,9.0,0.25,7.0,0.0,7.0,0.0,2
/match/br/2721321519,4896.0,1.0,0.0,blue,1.67,1.67,5.5,0.8,8.0,1.0,6.5,0.33,10.0,2.0,0
/match/br/2721321178,-1428.0,-1.0,-2.0,red,3.0,2.67,1.25,6.0,6.0,5.0,8.0,1.0,2.0,3.0,0
/match/br/2721313812,1276.0,-1.0,0.0,red,2.5,0.75,4.0,6.0,1.5,1.75,2.75,2.0,3.33,1.75,2
/match/br/2721316553,-633.0,-1.0,-1.0,red,0.67,2.25,3.0,0.8,0.78,5.0,15.0,0.6,5.0,1.67,1
/match/br/2721311920,-162.0,-1.0,-2.0,red,2.0,2.5,1.25,3.6,1.17,3.0,4.0,0.29,4.67,1.75,-2
/match/br/2721311761,-1086.0,-2.0,0.0,red,1.8,0.8,6.5,4.0,2.33,2.25,1.83,2.17,2.17,3.5,0
/match/br/2721313142,-6504.0,-4.0,-1.0,red,0.17,4.5,5.5,1.2,1.8,4.5,0.43,5.33,3.2,1.43,-1
/match/br/2721308802,-45.0,3.0,2.0,blue,1.5,2.25,1.67,3.33,0.75,1.25,1.22,7.0,5.5,4.25,2
/match/br/2721310456,-1158.0,0.0,0.0,blue,1.33,0.75,5.0,1.75,2.0,1.67,1.0,4.0,1.75,5.5,0
/match/br/2721303502,-8559.0,-6.0,-2.0,red,0.33,3.33,1.0,14.0,0.38,10.0,3.0,1.33,8.0,3.0,-2
/match/br/2721296178,-10078.0,-5.0,-2.0,red,0.22,2.5,1.5,6.5,0.75,2.67,1.75,13.0,0.25,5.5,-2
